VideoID,Start,End,WorkerID,Source,AnnotationTime,Language,Description
mv89psg6zh4,33,46,588702,unverified,55,Slovene,Papagaj se umiva pod tekočo vodo v lijaku.
mv89psg6zh4,33,46,588702,unverified,37,Slovene,Papagaj se umiva pod tekočo vodo v lijaku.
mv89psg6zh4,33,46,362812,unverified,11,Macedonian,папагал се бања
mv89psg6zh4,33,46,968828,unverified,84,German,Ein Wellensittich duscht unter einem Wasserhahn.
mv89psg6zh4,33,46,203142,unverified,14,Romanian,o pasare sta intr-o chiuveta.
mv89psg6zh4,33,46,984231,unverified,35,Romanian,Un papagal se spala intr-o chiuveta.
mv89psg6zh4,33,46,130914,unverified,24,Georgian,თუთიყურში რაკოინაში სველდება
mv89psg6zh4,33,46,130914,unverified,19,Georgian,თუთიყურში სველდება რაკოინაში
mv89psg6zh4,33,46,400189,unverified,23,Serbian,Papagaj se tušira u sudoperu.
mv89psg6zh4,33,46,589431,unverified,66,Serbian,Papagaj biva kvašen u sudoperi vodom koja curi iz česme.
mv89psg6zh4,33,46,767031,unverified,31,Serbian,Papagaj se tušira u sudoperi.
mv89psg6zh4,33,46,649244,unverified,19,Serbian,Papagaj pije vodu u sudoperu
mv89psg6zh4,33,46,180998,unverified,19,French,Un oiseau boit.
mv89psg6zh4,33,46,197912,unverified,18,Gujarati,કબુતર નળ નીચે નહાય છે
mv89psg6zh4,33,46,339861,unverified,52,Hindi,एक तोता नहा रहा है.
mv89psg6zh4,33,46,818922,unverified,253,Hindi,बेसन वश में कुछ पड़ा है.
mv89psg6zh4,33,46,161492,unverified,34,Hindi,तोता नहातअ हे
mv89psg6zh4,33,46,797651,unverified,27,Hindi,थूथ नहा रहा हे
mv89psg6zh4,33,46,682611,clean,66,English,A bird in a sink keeps getting under the running water from a faucet.
mv89psg6zh4,33,46,760882,clean,16,English,A bird is bathing in a sink.
mv89psg6zh4,33,46,878566,clean,76,English,A bird is splashing around under a running faucet.
mv89psg6zh4,33,46,707318,clean,14,English,A bird is bathing in a sink.
mv89psg6zh4,33,46,135621,clean,58,English,A bird is standing in a sink drinking water that is pouring out of the facet.
mv89psg6zh4,33,46,257511,clean,57,English,A faucet is running while a bird stands in the sink below.
mv89psg6zh4,33,46,435773,clean,25,English,A bird is playing in a sink with running water.
mv89psg6zh4,33,46,275759,clean,27,English,A bird is playing in tap water.
mv89psg6zh4,33,46,157374,clean,30,English,A bird is bathing in the sink.
mv89psg6zh4,33,46,373663,clean,36,English,A bird is taking a bath.
mv89psg6zh4,33,46,155632,clean,47,English,A bird is taking a shower in a sink.
mv89psg6zh4,33,46,617730,clean,27,English,A bird is showering in the sink.
mv89psg6zh4,33,46,762891,clean,23,English,The bird is taking a bath under the faucet.
mv89psg6zh4,33,46,675312,clean,165,English,A parakeet is taking a shower in a sink.
mv89psg6zh4,33,46,807872,clean,31,English,A bird gets washed.
mv89psg6zh4,33,46,625932,clean,28,English,A bird is having a bath in the kitchen sink.
mv89psg6zh4,33,46,585381,clean,135,English,A bird is bathing in a sink under running water.
mv89psg6zh4,33,46,965612,unverified,43,English,the bird is drinking water
mv89psg6zh4,33,46,906649,unverified,39,English,A bird walks under a running tap in a sink.
mv89psg6zh4,33,46,318570,unverified,227,English,a parrot is playing inside the wash basin.
mv89psg6zh4,33,46,171815,unverified,79,English,a bird in a sink n playing with water
mv89psg6zh4,33,46,741585,unverified,26,English,A bird is playing in a sink.
mv89psg6zh4,33,46,120123,unverified,74,English,A cockatiel in a kitchen sink playing under the running water.
mv89psg6zh4,33,46,617730,unverified,14,English,A bird is taking a bath in a sink.
mv89psg6zh4,33,46,394339,unverified,177,English,A bird  is playing in the sink.
mv89psg6zh4,33,46,309959,unverified,22,English,The white birt took a bath in the sink.
mv89psg6zh4,33,46,130040,unverified,21,English,a bird is playing
mv89psg6zh4,33,46,762891,unverified,15,English,The bird is taking a bath in the sink.
mv89psg6zh4,33,46,501877,unverified,29,English,A bird is drinking out of the sink.
mv89psg6zh4,33,46,733696,unverified,90,Tamil,ஒரு குருவி பைப்பில் தண்ணீர் குடித்துக்கொண்டு இருக்கிறது.
mv89psg6zh4,33,46,950427,unverified,50,Tamil,ஒரு பறவை நீரில் நனைந்து கொண்டு இருக்கிறது.
ZbzDGXEwtGc,6,15,588702,unverified,76,Slovene,Veliko potniško letalo zavija v zraku.
ZbzDGXEwtGc,6,15,588702,unverified,51,Slovene,Potniško letalo zavija v zraku.
ZbzDGXEwtGc,6,15,968828,unverified,49,German,Ein Flugzeug fliegt eine Kurve.
ZbzDGXEwtGc,6,15,553067,unverified,30,Dutch,Een vliegtuig vliegt door de lucht.
ZbzDGXEwtGc,6,15,362812,unverified,18,Macedonian,Авиона лета
ZbzDGXEwtGc,6,15,818922,unverified,87,Hindi,हवाई जहाज़ उड़ रहा है.
ZbzDGXEwtGc,6,15,652099,unverified,51,Tagalog,Lumipad ang isang South America na eroplano.
ZbzDGXEwtGc,6,15,550906,clean,24,English,a plane flying in the sky
ZbzDGXEwtGc,6,15,164462,clean,42,English,A commercial plane flying.
ZbzDGXEwtGc,6,15,155632,clean,51,English,A jet is flying.
ZbzDGXEwtGc,6,15,617730,clean,27,English,A large jet is flying through the sky.
ZbzDGXEwtGc,6,15,297776,clean,28,English,A passenger plane flies through the air.
ZbzDGXEwtGc,6,15,807872,clean,17,English,A plane flies through the air.
ZbzDGXEwtGc,6,15,825347,clean,11,English,A plane is flying in the air.
ZbzDGXEwtGc,6,15,922727,clean,18,English,A plane is flying.
ZbzDGXEwtGc,6,15,878566,clean,35,English,A South African Airways plane is flying in a blue sky.
ZbzDGXEwtGc,6,15,615204,clean,39,English,An aeroplane is flying in the air.
ZbzDGXEwtGc,6,15,280252,clean,41,English,An airplane is flying in the air.
ZbzDGXEwtGc,6,15,374994,clean,30,English,An airplane is flying in the clear sky.
ZbzDGXEwtGc,6,15,772960,clean,72,English,An airplane is flying in the sky.
ZbzDGXEwtGc,6,15,760882,clean,19,English,An airplane is flying.
ZbzDGXEwtGc,6,15,275759,clean,43,English,An airplane is flying.
ZbzDGXEwtGc,6,15,553931,clean,22,English,The plane flew in the sky.
ZbzDGXEwtGc,6,15,762891,clean,25,English,The plane is soaring through the air.
ZbzDGXEwtGc,6,15,309959,clean,24,English,The South African jet banked itself in the air.
ZbzDGXEwtGc,6,15,965612,unverified,86,English,The airplane is flying in air
ZbzDGXEwtGc,6,15,799001,unverified,27,English,An airplane flying.
ZbzDGXEwtGc,6,15,521022,unverified,42,English,A South African airplane flying sideways in the sky.
ZbzDGXEwtGc,6,15,807741,unverified,224,English,"the Avión, airplane is flying high in the sky."
ZbzDGXEwtGc,6,15,707318,unverified,11,English,A plane is flying.
ZbzDGXEwtGc,6,15,318570,unverified,155,English,An aeroplane flying in the sky.
ZbzDGXEwtGc,6,15,403763,unverified,103,English,An aeroplane is flying.
ZbzDGXEwtGc,6,15,829808,unverified,50,English,An aeroplane is flying.
ZbzDGXEwtGc,6,15,371782,unverified,208,English,A flight is flying in the sky.
ZbzDGXEwtGc,6,15,418656,unverified,69,English,A South African flight is flying.
ZbzDGXEwtGc,6,15,257511,unverified,59,English,An airplane is flying with blue sky in the background.
ZbzDGXEwtGc,6,15,497691,unverified,50,English,AEROPLANE IS FLING IN MID-AIR.
ZbzDGXEwtGc,6,15,741585,unverified,20,English,An Airplane is flying in the air.
ZbzDGXEwtGc,6,15,553878,unverified,312,English,South African aeroplane js moving in the air
ZbzDGXEwtGc,6,15,599728,unverified,157,English,a plane is flying in air
ZbzDGXEwtGc,6,15,373663,unverified,68,English,A commercial jet if flying
ZbzDGXEwtGc,6,15,919506,unverified,37,English,an airplane flying in the sky.
ZbzDGXEwtGc,6,15,705358,unverified,54,English,An airoplane is flying in the sky
ZbzDGXEwtGc,6,15,169072,unverified,83,English,A flight is flying.
ZbzDGXEwtGc,6,15,467982,unverified,79,English,A clip showing an south african airline plane flying in air.
ZbzDGXEwtGc,6,15,776761,unverified,37,English,A South African airplane is flying.
ZbzDGXEwtGc,6,15,394339,unverified,311,English,an airplane flying in the sky
ZbzDGXEwtGc,6,15,948158,unverified,35,English,An airplane is flying through the air.
ZbzDGXEwtGc,6,15,408179,unverified,18,English,An airplane is flying.
ZbzDGXEwtGc,6,15,974128,unverified,110,English,An plane is flying in the sky.
ZbzDGXEwtGc,6,15,130040,unverified,30,English,a flying airplane
ZbzDGXEwtGc,6,15,977945,unverified,261,English,A airplane in the air
ZbzDGXEwtGc,6,15,279187,unverified,157,English,A south american plane takes a turn in air.
ZbzDGXEwtGc,6,15,762891,unverified,16,English,The plane is soaring through the air.
ZbzDGXEwtGc,6,15,566596,unverified,103,English,An avion airoplane is flying
ZbzDGXEwtGc,6,15,750723,unverified,61,English,a aeroplane is flying
ZbzDGXEwtGc,6,15,963466,unverified,68,English,A plain is fly in the sky.
ZbzDGXEwtGc,6,15,857450,unverified,53,English,Avion airplane
ZbzDGXEwtGc,6,15,242058,unverified,26,Polish,Lecący samolot
g36ho6UrBz0,5,20,588702,unverified,46,Slovene,Moški igra na kitaro.
g36ho6UrBz0,5,20,588702,unverified,42,Slovene,Moški igra na kitaro.
g36ho6UrBz0,5,20,553067,unverified,36,Dutch,Man zit buiten bij deur gitaar te spelen.
g36ho6UrBz0,5,20,553067,unverified,42,Dutch,Man speelt gitaar in de buitenlucht.
g36ho6UrBz0,5,20,408475,unverified,33,Dutch,Een man soleert op een gitaar.
g36ho6UrBz0,5,20,388403,unverified,32,German,Ein Mann spielt ein Lied auf der E-Gitarre.
g36ho6UrBz0,5,20,968828,unverified,51,German,Ein Strassenmusikant spielt Gitarre.
g36ho6UrBz0,5,20,550906,clean,28,English,a man playing a guitar outside his house
g36ho6UrBz0,5,20,625932,clean,37,English,A man is playing a guitar on the patio.
g36ho6UrBz0,5,20,772960,clean,139,English,A man is playing a guitar seated outside a restaurant.
g36ho6UrBz0,5,20,135621,clean,143,English,A man is playing a guitar while sitting down.
g36ho6UrBz0,5,20,280252,clean,33,English,A man is playing a guitar.
g36ho6UrBz0,5,20,922727,clean,20,English,A man is playing a guitar.
g36ho6UrBz0,5,20,257003,clean,106,English,A man is playing a guitar.
g36ho6UrBz0,5,20,135141,clean,53,English,A man is playing an acoustic guitar outdoors.
g36ho6UrBz0,5,20,888508,clean,28,English,A man is playing guitar.
g36ho6UrBz0,5,20,155632,clean,25,English,A man is playing the guitar.
g36ho6UrBz0,5,20,297776,clean,46,English,A man plays a guitar.
g36ho6UrBz0,5,20,215924,clean,224,English,A man plays guitar.
g36ho6UrBz0,5,20,275759,clean,49,English,A person is performing with his guitar.
g36ho6UrBz0,5,20,147492,clean,44,English,A seated man plays guitar.
g36ho6UrBz0,5,20,374994,clean,25,English,A sitting man is playing guitar.
g36ho6UrBz0,5,20,762891,clean,35,English,The man is playing the guitar.
g36ho6UrBz0,5,20,553931,clean,20,English,The man is plying his guitar on the patio.
g36ho6UrBz0,5,20,309959,clean,24,English,The man played his guitar.
g36ho6UrBz0,5,20,668575,unverified,53,English,A man is playing an electric guitar.
g36ho6UrBz0,5,20,395870,unverified,57,English,A man is playing guitar.
g36ho6UrBz0,5,20,471930,unverified,48,English,A man is playing guitar outside of a store.
g36ho6UrBz0,5,20,411294,unverified,24,English,The man is playing the guitar.
g36ho6UrBz0,5,20,651813,unverified,19,English,A man is playing a guitar.
g36ho6UrBz0,5,20,682611,unverified,61,English,A man is playing a guitar.
g36ho6UrBz0,5,20,760882,unverified,13,English,A man plays a guitar.
g36ho6UrBz0,5,20,696912,unverified,82,English,The man is playing music on a guitar sitting on a stool.
g36ho6UrBz0,5,20,252681,unverified,19,English,A man is playing guitar.
g36ho6UrBz0,5,20,394758,unverified,48,English,a man playing guitar
g36ho6UrBz0,5,20,132126,unverified,69,English,A man playing an instrument.
g36ho6UrBz0,5,20,134458,unverified,203,English,A man is playing  music through Fiddle
g36ho6UrBz0,5,20,339451,unverified,60,English,A man is playing the guitar.
g36ho6UrBz0,5,20,371782,unverified,109,English,A man playing guitar.
g36ho6UrBz0,5,20,584478,unverified,18,English,A man playing the guitar.
g36ho6UrBz0,5,20,418656,unverified,67,English,An old man is playing guitar.
g36ho6UrBz0,5,20,502429,unverified,44,English,A man is playing a guitar.
g36ho6UrBz0,5,20,435773,unverified,12,English,A man is playing a guitar.
g36ho6UrBz0,5,20,922727,unverified,22,English,A man is playing a guitar outside.
g36ho6UrBz0,5,20,157374,unverified,42,English,A man is enjoying himself as he plays the guitar.
g36ho6UrBz0,5,20,599728,unverified,60,English,A person is playing guitar righ now
g36ho6UrBz0,5,20,765277,unverified,50,English,A man playing electric gutar at a party.
g36ho6UrBz0,5,20,120123,unverified,42,English,A man playing his electric guitar at a home party outside.
g36ho6UrBz0,5,20,309415,unverified,19,English,a man playing a guitar
g36ho6UrBz0,5,20,844963,unverified,53,English,A man is playing a guitar.
g36ho6UrBz0,5,20,169605,unverified,21,English,A guy is playing guitar.
g36ho6UrBz0,5,20,169072,unverified,40,English,A man is playing a guitar.
g36ho6UrBz0,5,20,728190,unverified,73,English,A man is playing a guitar.
g36ho6UrBz0,5,20,617730,unverified,16,English,A man is playing a guitar outside.
g36ho6UrBz0,5,20,223451,unverified,29,English,A man is happily playing guitar
g36ho6UrBz0,5,20,383544,unverified,32,English,a man is playing a guitar
g36ho6UrBz0,5,20,394339,unverified,129,English,A man is playing the guitar.
